이름,가격,면적 및 층수,센터명칭,공급면적,전용면적,현재층,총층,공급종류,보증금,월세,매매가
지식산업센터,"1,300/130","214/107m², 5/10층",광양프런티어밸리5차지식산업센터,214,107,5,10,월세,"1,300",130.0,
지식산업센터,500/50,"80/40m², 3/10층",더플랫폼R,80,40,3,10,월세,500,50.0,
지식산업센터,"1,000/100","217/97m², 10/10층",광양프런티어밸리7차지식산업센터,217,97,10,10,월세,"1,000",100.0,
지식산업센터,"1,000/90","129/71m², 5/10층",더플랫폼R,129,71,5,10,월세,"1,000",90.0,
지식산업센터,500/35,"57/28m², 9/10층",광양프런티어밸리5차지식산업센터,57,28,9,10,월세,500,35.0,
지식산업센터,"1억 5,500","81/40m², 6/10층",골든IT타워,81,40,6,10,매매,,,"1억 5,500"
지식산업센터,"1,300/130","214/107m², 5/10층",광양프런티어밸리5차지식산업센터,214,107,5,10,월세,"1,300",130.0,
지식산업센터,"1,300/130","214/104m², 5/10층",광양프런티어밸리5차지식산업센터,214,104,5,10,월세,"1,300",130.0,
지식산업센터,"2,000/130","189/94m², 4/10층",광양프런티어밸리5차지식산업센터,189,94,4,10,월세,"2,000",130.0,
지식산업센터,500/45,"81/41m², 4/10층",더플랫폼R,81,41,4,10,월세,500,45.0,
지식산업센터,"1억 2,000","66/32m², 7/10층",골든IT타워,66,32,7,10,매매,,,"1억 2,000"
지식산업센터,500/40,"81/36m², 10/10층",광양프런티어밸리7차지식산업센터,81,36,10,10,월세,500,40.0,
지식산업센터,500/40,"81/41m², 4/10층",더플랫폼R,81,41,4,10,월세,500,40.0,
지식산업센터,"4억 1,000","189/94m², 4/10층",광양프런티어밸리5차지식산업센터,189,94,4,10,매매,,,"4억 1,000"
지식산업센터,"4억 9,170","239/107m², 9/10층",광양프런티어밸리7차지식산업센터,239,107,9,10,매매,,,"4억 9,170"
지식산업센터,"1,000/55","102/50m², 6/10층",우성테크노파크Ⅰ,102,50,6,10,월세,"1,000",55.0,
지식산업센터,"1,000/120","118/59m², 10/10층",더플랫폼R,118,59,10,10,월세,"1,000",120.0,
지식산업센터,500/50,"95/47m², 9/10층",광양프런티어밸리5차지식산업센터,95,47,9,10,월세,500,50.0,
지식산업센터,"3억 8,300","196/98m², 7/10층",광양프런티어밸리5차지식산업센터,196,98,7,10,매매,,,"3억 8,300"
지식산업센터,500/35,"69/31m², 10/10층",광양프런티어밸리7차지식산업센터,69,31,10,10,월세,500,35.0,
지식산업센터,"2억 4,800","117/58m², 9/10층",광양프런티어밸리5차지식산업센터,117,58,9,10,매매,,,"2억 4,800"
지식산업센터,"1,300/130","231/104m², 3/10층",광양프런티어밸리7차지식산업센터,231,104,3,10,월세,"1,300",130.0,
지식산업센터,700/70,"189/94m², B2/10층",광양프런티어밸리5차지식산업센터,189,94,B2,10,월세,700,70.0,
지식산업센터,2억,"105/52m², 9/10층",광양프런티어밸리5차지식산업센터,105,52,9,10,매매,,,2억
지식산업센터,"1,200/120","216/108m², 7/10층",광양프런티어밸리5차지식산업센터,216,108,7,10,월세,"1,200",120.0,
지식산업센터,"1,000/65","130/65m², B2/10층",광양프런티어밸리5차지식산업센터,130,65,B2,10,월세,"1,000",65.0,
지식산업센터,"1억 3,500","75/37m², 10/10층",우성테크노파크Ⅰ,75,37,10,10,매매,,,"1억 3,500"
지식산업센터,500/40,"82/40m², 3/10층",골든IT타워,82,40,3,10,월세,500,40.0,
지식산업센터,2억,"95/47m², 9/10층",광양프런티어밸리5차지식산업센터,95,47,9,10,매매,,,2억
지식산업센터,"2,000/130","189/94m², 4/10층",광양프런티어밸리5차지식산업센터,189,94,4,10,월세,"2,000",130.0,
지식산업센터,500/40,"73/36m², 5/10층",더플랫폼R,73,36,5,10,월세,500,40.0,
지식산업센터,500/45,"61/30m², 7/10층",더플랫폼R,61,30,7,10,월세,500,45.0,
지식산업센터,500/50,"61/30m², 4/10층",더플랫폼R,61,30,4,10,월세,500,50.0,
지식산업센터,300/29,"45/29m², B3/10층",부천옥길서영아너시티2,45,29,B3,10,월세,300,29.0,
지식산업센터,600/60,"80/43m², 3/10층",더플랫폼R,80,43,3,10,월세,600,60.0,
지식산업센터,"1,000/60","50/28m², 9/10층",옥길지식산업센터,50,28,9,10,월세,"1,000",60.0,
지식산업센터,500/45,"60/30m², 7/10층",더플랫폼R,60,30,7,10,월세,500,45.0,
지식산업센터,"1,500/150","196/98m², 3/10층",광양프런티어밸리5차지식산업센터,196,98,3,10,월세,"1,500",150.0,
지식산업센터,500/40,"91/45m², 8/10층",광양프런티어밸리5차지식산업센터,91,45,8,10,월세,500,40.0,
지식산업센터,"1,000/60","50/28m², 9/10층",옥길지식산업센터,50,28,9,10,월세,"1,000",60.0,
지식산업센터,"3억 8,000","171/85m², 7/10층",광양프런티어밸리5차지식산업센터,171,85,7,10,매매,,,"3억 8,000"
지식산업센터,700/65,"117/58m², 9/10층",광양프런티어밸리5차지식산업센터,117,58,9,10,월세,700,65.0,
지식산업센터,500/45,"98/49m², 9/10층",광양프런티어밸리5차지식산업센터,98,49,9,10,월세,500,45.0,
지식산업센터,"1,000/60","28/28m², 9/10층",옥길지식산업센터,28,28,9,10,월세,"1,000",60.0,
지식산업센터,500/45,"80/39m², 3/10층",골든IT타워,80,39,3,10,월세,500,45.0,
지식산업센터,500/50,"80/40m², 4/10층",더플랫폼R,80,40,4,10,월세,500,50.0,
지식산업센터,500/50,"73/36m², 3/10층",더플랫폼R,73,36,3,10,월세,500,50.0,
